VENDOR_KEY,RETAILER_KEY,ITEM_KEY,STORE_KEY,PERIOD_KEY,MODULAR_KEY,REQUEST_DATE,STORE_SPECIFIC_RETAIL,POS_SALES,POS_QTY,POS_COST,MAX_SHELF_QTY,GROSS_SHIP_QTY,GROSS_SHIP_RETAIL,NET_SHIP_QTY,NET_SHIP_RETAIL,AVG_TRAITED_STORE_ITEM_COMB,AVG_VALID_STORE_ITEM_COMB,AVG_STR_DD_RATE_OF_SALE,AVG_IN_STOCK,AVG_REPL_IN_STOCK,HIST_ON_HAND_QTY,SI_MUMD_QTY,SI_TOTAL_MUMD,NUM_OF_BASKET_OCCURENCES,BASKET_SCAN_COUNT,BASKET_SALES,BASKET_GM,REPLENISHEDFLAG
308,1010,,1162,20170107,1,2/2/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,,1173,20170107,3792,2/2/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,,1275,20170107,4159,2/2/2017,,4,1,,0,0,0,0,0,0,0,,0,0,0,0,0,1,35,151.03,151.03,1
308,1010,,,,4117,2/2/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,,,,1,2/2/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,,,3893,2/2/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,,,3649,2/2/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,1444,,1,2/2/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,1531,,4027,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,1539,,1,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,1558,20170107,1,2/2/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,1613,20170107,1,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,1675,20170107,3962,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,1708,20170107,3927,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,1730,20170107,3825,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,1782,20170107,3990,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,2089,20170107,3919,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,2096,20170107,1,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,2187,20170107,1,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,2288,20170107,4326,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,2291,20170107,3919,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,2447,20170107,1,2/9/2017,,4,1,,0,0,0,0,0,0,0,,0,0,0,0,0,1,6,26.06,26.06,1
308,1010,1010370,2453,20170107,4162,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,2563,20170107,3490,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,2585,20170107,1,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,2630,20170107,3867,2/9/2017,,4.97,1,,0,0,0,0,0,0,0,,0,0,0,0,0,1,23,49.6,49.6,1
308,1010,1010370,2778,20170107,1,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,2819,20170107,3700,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,2831,20170107,3762,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,2843,20170107,3754,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,3207,20170107,4402,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,3235,20170107,4068,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,3255,20170107,4016,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,3285,20170107,3680,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,3389,20170107,3800,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,3447,20170107,3652,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,3498,20170107,4033,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,3601,20170107,4046,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,4063,20170107,4136,2/9/2017,,4.97,1,,0,0,0,0,0,0,0,,0,0,0,0,0,1,15,76.73,76.73,1
308,1010,1010370,4457,20170107,3493,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,5080,20170107,4031,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,5150,20170107,3784,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,5173,20170107,4049,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,5177,20170107,4457,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,5246,20170107,1,2/9/2017,,4.97,1,,0,0,0,0,0,0,0,,0,0,0,0,0,1,25,81.39,81.39,1
308,1010,1010370,5298,20170107,3719,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,5312,20170107,3921,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,5384,20170107,1,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,5398,20170107,4335,2/9/2017,,4.97,1,,0,0,0,0,0,0,0,,0,0,0,0,0,1,3,14.82,14.82,1
308,1010,1010370,5399,20170107,3916,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,5411,20170107,1,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,9,8.73,0,0,0,0,1
308,1010,1010370,5418,20170107,1,2/9/2017,,4,1,,0,0,0,0,0,0,0,,0,0,0,0,0,1,31,61.28,61.28,1
308,1010,1010370,5487,20170107,3916,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,5492,20170107,3823,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,5710,20170107,1,2/9/2017,,4,1,,0,0,0,0,0,0,0,,0,0,0,0,0,1,12,42.85,42.85,1
308,1010,1010370,5786,20170107,3611,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,535056,20170107,1,2/9/2017,,4.5,3,,0,0,0,0,0,0,0,,0,0,0,0,0,3,46,83.96,83.96,1
308,1010,1010370,564373,20170107,3962,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,1001278,20170107,3902,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,1007309,20170107,3978,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,1502922,20170107,1,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,2,36,66.36,66.36,1
308,1010,1010370,1502977,20170107,3506,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010370,1579637,20170107,3879,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010371,54,20170107,1,2/9/2017,4.97,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010371,1407,20170107,1,2/2/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010371,4216,20170107,2063,2/9/2017,1,0,0,,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,1
308,1010,1010371,4416,20170107,1,2/9/2017,4.97,0,0,,0,0,0,0,0,0,0,,0,0,6,0,0,0,0,0,0,1
308,1010,1010372,18,20170107,1,2/9/2017,,4,1,,0,0,0,0,0,0,0,,0,0,0,0,0,1,9,36.6,36.6,1
308,1010,1010372,36,20170107,3935,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010372,39,20170107,1,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010372,44,20170107,3482,2/9/2017,,4,1,,0,0,0,0,0,0,0,,0,0,0,0,0,1,16,39.26,39.26,1
308,1010,1010372,70,20170107,3540,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010372,102,20170107,1,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010372,106,20170107,3778,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010372,158,20170107,3847,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010372,239,20170107,3493,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010372,251,20170107,3847,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010372,265,20170107,1,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010372,274,20170107,1,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010372,293,20170107,3487,2/9/2017,,4.97,1,,0,0,0,0,0,0,0,,0,0,0,0,0,1,13,79.73,79.73,1
308,1010,1010372,294,20170107,1,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010372,295,20170107,3868,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010372,366,20170107,1,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010372,446,20170107,3487,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010372,456,20170107,4331,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010372,459,20170107,3858,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010372,534,20170107,1,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010372,553,20170107,3872,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010372,587,20170107,1,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010372,594,20170107,1,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010372,603,20170107,3847,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
308,1010,1010372,627,20170107,3883,2/9/2017,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1
